date,datetime,narrow_bands,open,close,trend,call_strike,put_strike,call_p,put_p,c_dist_p,p_dist_p,final_signal,temp_signal,high,low,volume,wap,count,SMA5,SMA50,RSI,ATR,ATR_percent,ATR_up,ATR_down,MACD,MACDSignal,MACDHist,bb_up,bb_mid,bb_low,band_width,tech_signal,minutes_since_open,remaining_intervals,SellCall_profit,SellPut_profit,SellIronCondor_profit,day,day_high,day_low,day_high_remaining_2,day_low_remaining_2,new_day,day_group,day_high_remaining,day_low_remaining,date_num,x
20250128 15:30:00 Europe/Berlin,2025-01-28 15:30:00+01:00,False,6026.97,6017.05,DOWN,6080.0,5955.0,0.8508,0.8473999999999999,1.05,1.03,StrategyEnum.Hold,StrategyEnum.Hold,6027.68,6015.53,0,0,296,,,,,,,,,,,,,,,StrategyEnum.Hold,0,78,,,,0,6027.68,6015.53,6027.68,6015.53,False,0,6074.54,5994.63,2025-01-28 15:30,0
20250128 15:35:00 Europe/Berlin,2025-01-28 15:35:00+01:00,False,6016.89,6010.91,DOWN,6075.0,5950.0,0.857,0.8447,1.07,1.01,StrategyEnum.Hold,StrategyEnum.Hold,6017.75,6008.15,0,0,298,,,,,,,,,,,,,,,StrategyEnum.Hold,5,77,,,,1,6017.75,6008.15,6017.75,6008.15,False,0,6074.54,5994.63,2025-01-28 15:35,1
20250128 15:40:00 Europe/Berlin,2025-01-28 15:40:00+01:00,False,6011.44,6004.02,DOWN,6065.0,5940.0,0.8468,0.8586,1.02,1.07,StrategyEnum.Hold,StrategyEnum.Hold,6013.68,6002.84,0,0,294,,,,,,,,,,,,,,,StrategyEnum.Hold,10,76,,,,2,6013.68,6002.84,6013.68,6002.84,False,0,6074.54,5994.63,2025-01-28 15:40,2
20250128 15:45:00 Europe/Berlin,2025-01-28 15:45:00+01:00,False,6004.39,5999.91,DOWN,6060.0,5940.0,0.845,0.8443,1.0,1.0,StrategyEnum.Hold,StrategyEnum.Hold,6009.43,5994.63,0,0,299,,,,,,,,,,,,,,,StrategyEnum.Hold,15,75,,,,3,6009.43,5994.63,6009.43,5994.63,False,0,6074.54,5994.63,2025-01-28 15:45,3
20250128 15:50:00 Europe/Berlin,2025-01-28 15:50:00+01:00,False,5999.99,6007.4,DOWN,6070.0,5945.0,0.8562,0.8555,1.04,1.04,StrategyEnum.Hold,StrategyEnum.Hold,6007.4,5995.87,0,0,299,6007.86,,,,,,,,,,,,,,StrategyEnum.Hold,20,74,,,,4,6007.4,5995.87,6007.4,5995.87,False,0,6074.54,5995.87,2025-01-28 15:50,4
20250128 15:55:00 Europe/Berlin,2025-01-28 15:55:00+01:00,False,6007.83,6011.76,UP,6075.0,5950.0,0.8601,0.8544,1.05,1.03,StrategyEnum.Hold,StrategyEnum.Hold,6011.76,6005.68,0,0,294,6006.8,,,,,,,,,,,,,,StrategyEnum.Hold,25,73,,,,5,6011.76,6005.68,6011.76,6005.68,False,0,6074.54,6005.68,2025-01-28 15:55,5
20250128 16:00:00 Europe/Berlin,2025-01-28 16:00:00+01:00,False,6011.54,6025.66,UP,6085.0,5965.0,0.8459,0.8512,0.98,1.01,StrategyEnum.Hold,StrategyEnum.Hold,6026.22,6011.24,0,0,297,6009.75,,,,,,,,,,,,,,StrategyEnum.Hold,30,72,,,,6,6026.22,6011.24,6026.22,6011.24,False,0,6074.54,6011.24,2025-01-28 16:00,6
20250128 16:05:00 Europe/Berlin,2025-01-28 16:05:00+01:00,False,6026.1,6020.72,UP,6080.0,5960.0,0.8475,0.8533,0.98,1.01,StrategyEnum.Hold,StrategyEnum.Hold,6027.97,6020.53,0,0,296,6013.09,,,,,,,,,,,,,,StrategyEnum.Hold,35,71,,,,7,6027.97,6020.53,6027.97,6020.53,False,0,6074.54,6020.53,2025-01-28 16:05,7
20250128 16:10:00 Europe/Berlin,2025-01-28 16:10:00+01:00,False,6020.87,6030.12,UP,6090.0,5970.0,0.8513,0.8523000000000001,0.99,1.0,StrategyEnum.Hold,StrategyEnum.Hold,6030.8,6020.62,0,0,297,6019.13,,,,,,,,,,,,,,StrategyEnum.Hold,40,70,,,,8,6030.8,6020.62,6030.8,6020.62,False,0,6074.54,6020.62,2025-01-28 16:10,8
20250128 16:15:00 Europe/Berlin,2025-01-28 16:15:00+01:00,False,6029.85,6032.12,UP,6090.0,5975.0,0.8447,0.8416,0.96,0.95,StrategyEnum.Hold,StrategyEnum.Hold,6032.12,6027.93,0,0,292,6024.08,,,,,,,,,,,,,,StrategyEnum.Hold,45,69,,,,9,6032.12,6027.93,6032.12,6027.93,False,0,6074.54,6027.93,2025-01-28 16:15,9
20250128 16:20:00 Europe/Berlin,2025-01-28 16:20:00+01:00,False,6031.91,6041.2,UP,6100.0,5980.0,0.85,0.8596,0.97,1.01,StrategyEnum.Hold,StrategyEnum.Hold,6041.2,6029.92,0,0,292,6029.96,,,,,,,,,,,,,,StrategyEnum.Hold,50,68,,,,10,6041.2,6029.92,6041.2,6029.92,False,0,6074.54,6029.92,2025-01-28 16:20,10
20250128 16:25:00 Europe/Berlin,2025-01-28 16:25:00+01:00,False,6041.03,6046.18,UP,6105.0,5985.0,0.8516,0.8611,0.97,1.01,StrategyEnum.Hold,StrategyEnum.Hold,6049.15,6040.67,0,0,291,6034.07,,,,,,,,,,,,,,StrategyEnum.Hold,55,67,,,,11,6049.15,6040.67,6049.15,6040.67,False,0,6074.54,6030.06,2025-01-28 16:25,11
20250128 16:30:00 Europe/Berlin,2025-01-28 16:30:00+01:00,False,6046.21,6039.84,UP,6100.0,5980.0,0.8591,0.8578,1.0,0.99,StrategyEnum.Hold,StrategyEnum.Hold,6046.21,6039.06,0,0,292,6037.89,,,,,,,,,,,,,,StrategyEnum.Hold,60,66,,,,12,6046.21,6039.06,6046.21,6039.06,False,0,6074.54,6030.06,2025-01-28 16:30,12
20250128 16:35:00 Europe/Berlin,2025-01-28 16:35:00+01:00,False,6039.91,6045.33,UP,6105.0,5985.0,0.8588,0.8613999999999999,0.99,1.0,StrategyEnum.Hold,StrategyEnum.Hold,6046.65,6037.89,0,0,291,6040.93,,,,,,,,,,,,,,StrategyEnum.Hold,65,65,,,,13,6046.65,6037.89,6046.65,6037.89,False,0,6074.54,6030.06,2025-01-28 16:35,13
20250128 16:40:00 Europe/Berlin,2025-01-28 16:40:00+01:00,False,6045.24,6044.22,UP,6100.0,5985.0,0.8444,0.8589,0.92,0.98,StrategyEnum.Hold,StrategyEnum.Hold,6046.29,6042.1,0,0,291,6043.35,,65.75,9.25,0.1530387709249487,6053.47,6034.97,,,,,,,,StrategyEnum.Hold,70,64,,,,14,6046.29,6042.1,6046.29,6042.1,False,0,6074.54,6030.06,2025-01-28 16:40,14
20250128 16:45:00 Europe/Berlin,2025-01-28 16:45:00+01:00,False,6043.89,6046.66,UP,6105.0,5990.0,0.8571,0.85,0.96,0.94,StrategyEnum.Hold,StrategyEnum.Hold,6047.18,6038.74,0,0,290,6044.45,,66.77,9.19,0.15202017075778745,6055.852142857143,6037.467857142857,,,,,,,,StrategyEnum.Hold,75,63,,,,15,6047.18,6038.74,6047.18,6038.74,False,0,6074.54,6030.06,2025-01-28 16:45,15
20250128 16:50:00 Europe/Berlin,2025-01-28 16:50:00+01:00,False,6046.62,6045.1,UP,6100.0,5990.0,0.8444,0.8452999999999999,0.91,0.91,StrategyEnum.Hold,StrategyEnum.Hold,6047.13,6044.52,0,0,290,6044.23,,65.43,8.72,0.14428197707098842,6053.821989795919,6036.378010204082,,,,,,,,StrategyEnum.Hold,80,62,,,,16,6047.13,6044.52,6047.13,6044.52,False,0,6074.54,6030.06,2025-01-28 16:50,16
20250128 16:55:00 Europe/Berlin,2025-01-28 16:55:00+01:00,False,6044.9,6051.38,UP,6110.0,5995.0,0.8619,0.8525,0.97,0.93,StrategyEnum.Hold,StrategyEnum.Hold,6051.5,6044.9,0,0,296,6046.54,,68.19,8.57,0.14162751465301956,6059.95041909621,6042.80958090379,,,,,,,,StrategyEnum.Hold,85,61,,,,17,6051.5,6044.9,6051.5,6044.9,False,0,6074.54,6030.06,2025-01-28 16:55,17
20250128 17:00:00 Europe/Berlin,2025-01-28 17:00:00+01:00,False,6051.31,6051.3,UP,6105.0,5995.0,0.8428,0.8542,0.89,0.93,StrategyEnum.Hold,StrategyEnum.Hold,6055.18,6046.76,0,0,289,6047.73,,68.11,8.56,0.14145183473058764,6059.859674875052,6042.740325124948,,,,,,,,StrategyEnum.Hold,90,60,,,,18,6055.18,6046.76,6055.18,6046.76,False,0,6074.54,6030.06,2025-01-28 17:00,18
20250128 17:05:00 Europe/Berlin,2025-01-28 17:05:00+01:00,False,6051.47,6053.47,UP,6110.0,6000.0,0.8571,0.8437,0.93,0.88,StrategyEnum.Hold,StrategyEnum.Hold,6053.79,6050.97,0,0,293,6049.58,,69.1,8.15,0.13462853699221433,6061.619698098263,6045.320301901737,,,,6065.64,6031.22,5996.8,68.8,StrategyEnum.Hold,95,59,,,,19,6053.79,6050.97,6053.79,6050.97,False,0,6074.54,6030.06,2025-01-28 17:05,19
20250128 17:10:00 Europe/Berlin,2025-01-28 17:10:00+01:00,False,6053.51,6050.73,UP,6105.0,5995.0,0.8494,0.8558,0.9,0.92,StrategyEnum.Hold,StrategyEnum.Hold,6056.41,6049.53,0,0,293,6050.4,,66.31,8.06,0.13319062951012747,6058.789005376958,6042.670994623041,,,,6067.68,6032.9,5998.12,69.6,StrategyEnum.Hold,100,58,,,,20,6056.41,6049.53,6056.41,6049.53,False,0,6074.54,6030.06,2025-01-28 17:10,20
